timestamp,buy_from,sell_to,buy_price,sell_price,amount_usd,profit_usd,balance_usd,fees_paid_usd
2025-01-13T00:40:00,coinbase,binance,95545.37,95835.07,10000,10.27,10010.27,20.0203
2025-01-13T00:55:00,coinbase,binance,95280.24,95625.95,10000,16.22,10026.49,20.0262
2025-01-13T12:10:00,coinbase,binance,90862.54,91234.67,10000,20.88,10047.37,20.0309
2025-01-13T12:20:00,coinbase,binance,90728.14,91071.79,10000,17.81,10065.19,20.0278
2025-01-13T12:30:00,coinbase,binance,90601.14,90873.17,10000,9.97,10075.16,20.02
2025-01-13T14:50:00,binance,coinbase,91679.46,92011.15,10000,16.12,10091.28,20.0261
2025-01-13T15:05:00,binance,coinbase,92035.47,92364.22,10000,15.66,10106.94,20.0257
2025-01-14T01:55:00,binance,coinbase,94421.4,94800.78,10000,20.11,10127.05,20.0301
2025-01-14T13:35:00,coinbase,binance,96508.64,96859.93,10000,16.34,10143.38,20.0264
2025-01-14T16:25:00,coinbase,binance,95810.98,96116.54,10000,11.84,10155.22,20.0219
2025-01-14T18:45:00,binance,coinbase,96568.61,96881.45,10000,12.34,10167.56,20.0224
2025-01-15T07:25:00,binance,coinbase,97108.34,97502.52,10000,20.52,10188.08,20.0306
2025-01-16T06:35:00,binance,coinbase,99527.62,99834.0,10000,10.73,10198.81,20.0208
2025-01-16T08:45:00,coinbase,binance,98767.96,99166.78,10000,20.31,10219.12,20.0303
2025-01-16T12:00:00,coinbase,binance,98943.18,99270.65,10000,13.04,10232.16,20.0231
2025-01-16T14:50:00,coinbase,binance,97736.44,98125.56,10000,19.74,10251.91,20.0298
2025-01-16T15:10:00,coinbase,binance,97780.88,98096.63,10000,12.24,10264.14,20.0223
2025-01-16T15:15:00,binance,coinbase,97767.15,98087.24,10000,12.68,10276.83,20.0227
2025-01-16T16:25:00,binance,coinbase,99342.58,99726.15,10000,18.54,10295.37,20.0286
2025-01-16T18:15:00,coinbase,binance,99454.06,99821.86,10000,16.92,10312.29,20.0269
2025-01-16T19:10:00,binance,coinbase,99409.76,99734.13,10000,12.57,10324.86,20.0226
2025-01-16T20:25:00,binance,coinbase,100280.39,100610.85,10000,12.9,10337.76,20.0229
2025-01-17T02:15:00,binance,coinbase,101708.96,102056.19,10000,14.08,10351.84,20.0241
2025-01-17T04:55:00,binance,coinbase,101136.22,101462.6,10000,12.22,10364.06,20.0222
2025-01-17T09:05:00,binance,coinbase,101872.5,102262.02,10000,18.17,10382.23,20.0282
2025-01-17T15:00:00,binance,coinbase,103313.15,103680.08,10000,15.46,10397.69,20.0255
2025-01-17T17:00:00,binance,coinbase,104696.4,105013.81,10000,10.27,10407.95,20.0203
2025-01-17T17:20:00,binance,coinbase,104689.56,105039.91,10000,13.41,10421.36,20.0234
2025-01-17T18:55:00,binance,coinbase,104567.25,104909.95,10000,12.72,10434.08,20.0227
2025-01-17T19:00:00,binance,coinbase,104567.95,104894.34,10000,11.16,10445.24,20.0212
2025-01-17T22:10:00,coinbase,binance,104452.89,104781.96,10000,11.45,10456.69,20.0215
2025-01-18T00:40:00,binance,coinbase,104280.92,104620.96,10000,12.55,10469.24,20.0226
2025-01-18T00:55:00,binance,coinbase,104345.51,104703.58,10000,14.26,10483.5,20.0243
2025-01-18T03:50:00,binance,coinbase,103286.97,103600.67,10000,10.32,10493.82,20.0203
2025-01-18T04:30:00,binance,coinbase,102911.78,103353.25,10000,22.82,10516.64,20.0329
2025-01-18T08:05:00,coinbase,binance,102305.88,102695.85,10000,18.05,10534.7,20.0281
2025-01-18T10:15:00,coinbase,binance,102840.38,103171.15,10000,12.11,10546.8,20.0221
2025-01-18T15:55:00,coinbase,binance,104502.19,104964.02,10000,24.11,10570.92,20.0341
2025-01-18T16:40:00,coinbase,binance,103318.69,103813.99,10000,27.85,10598.77,20.0379
2025-01-18T20:15:00,coinbase,binance,104115.68,104434.82,10000,10.6,10609.37,20.0206
2025-01-19T00:20:00,coinbase,binance,104158.49,104481.13,10000,10.92,10620.3,20.0209
2025-01-19T00:25:00,coinbase,binance,104138.12,104461.93,10000,11.04,10631.34,20.0211
2025-01-19T02:20:00,binance,coinbase,104598.0,104918.6,10000,10.6,10641.94,20.0206
2025-01-19T02:50:00,coinbase,binance,104942.73,105286.23,10000,12.68,10654.62,20.0227
2025-01-19T04:15:00,coinbase,binance,104638.67,105177.7,10000,31.42,10686.04,20.0415
2025-01-19T08:00:00,coinbase,binance,104760.03,105238.13,10000,25.56,10711.59,20.0356
2025-01-19T08:45:00,coinbase,binance,104211.55,104544.38,10000,11.88,10723.48,20.0219
2025-01-19T09:15:00,coinbase,binance,103645.82,104004.4,10000,14.54,10738.01,20.0246
2025-01-19T10:10:00,coinbase,binance,104706.43,105090.81,10000,16.65,10754.66,20.0267
2025-01-19T10:30:00,coinbase,binance,104370.23,104827.97,10000,23.78,10778.44,20.0338
2025-01-19T11:55:00,coinbase,binance,104199.8,104614.11,10000,19.69,10798.13,20.0297
2025-01-19T12:20:00,coinbase,binance,104355.7,104753.4,10000,18.04,10816.18,20.0281
2025-01-19T13:25:00,coinbase,binance,104880.38,105205.26,10000,10.92,10827.1,20.0209
2025-01-19T13:45:00,coinbase,binance,104763.47,105102.23,10000,12.28,10839.38,20.0223
2025-01-19T13:55:00,coinbase,binance,104807.23,105192.31,10000,16.68,10856.06,20.0267
2025-01-19T14:00:00,coinbase,binance,104810.67,105172.56,10000,14.47,10870.53,20.0245
2025-01-19T14:05:00,coinbase,binance,104733.29,105155.4,10000,20.23,10890.76,20.0303
2025-01-19T14:10:00,coinbase,binance,104702.99,105131.53,10000,20.86,10911.62,20.0309
2025-01-19T15:05:00,coinbase,binance,104487.01,104938.15,10000,23.1,10934.72,20.0331
2025-01-19T16:05:00,coinbase,binance,104644.42,104961.57,10000,10.26,10944.98,20.0203
2025-01-19T17:20:00,coinbase,binance,104544.72,104888.48,10000,12.83,10957.8,20.0228
2025-01-19T17:25:00,coinbase,binance,104419.83,104859.09,10000,21.99,10979.79,20.032
2025-01-19T17:30:00,coinbase,binance,104501.18,104836.95,10000,12.08,10991.87,20.0221
2025-01-19T21:25:00,coinbase,binance,104302.81,104632.34,10000,11.54,11003.41,20.0216
2025-01-19T22:00:00,coinbase,binance,102922.49,103442.94,10000,30.48,11033.89,20.0405
2025-01-19T23:15:00,coinbase,binance,100419.89,100867.8,10000,24.52,11058.41,20.0346
2025-01-19T23:25:00,coinbase,binance,100407.36,100800.04,10000,19.04,11077.45,20.0291
2025-01-19T23:50:00,coinbase,binance,101299.55,101812.39,10000,30.53,11107.99,20.0406
2025-01-20T00:15:00,coinbase,binance,100938.26,101469.41,10000,32.53,11140.51,20.0426
2025-01-20T00:30:00,coinbase,binance,100781.67,101192.56,10000,20.7,11161.21,20.0307
2025-01-20T00:45:00,coinbase,binance,99614.31,100017.81,10000,20.44,11181.65,20.0305
2025-01-20T00:55:00,coinbase,binance,99651.05,99978.22,10000,12.78,11194.42,20.0228
2025-01-20T01:00:00,coinbase,binance,99734.82,100100.42,10000,16.59,11211.02,20.0266
2025-01-20T01:05:00,coinbase,binance,100075.73,100474.21,10000,19.75,11230.77,20.0298
2025-01-20T01:50:00,coinbase,binance,100031.51,100517.97,10000,28.54,11259.31,20.0386
2025-01-20T03:10:00,coinbase,binance,101669.68,101990.29,10000,11.48,11270.79,20.0215
2025-01-20T03:25:00,coinbase,binance,101533.43,101876.32,10000,13.71,11284.5,20.0237
2025-01-20T03:35:00,coinbase,binance,101495.39,101856.04,10000,15.47,11299.98,20.0255
2025-01-20T03:40:00,coinbase,binance,101469.95,101841.74,10000,16.58,11316.55,20.0266
2025-01-20T03:45:00,coinbase,binance,101392.8,101809.38,10000,21.01,11337.57,20.031
2025-01-20T04:05:00,coinbase,binance,101517.21,101852.78,10000,13.0,11350.57,20.023
2025-01-20T04:15:00,coinbase,binance,101608.35,101968.66,10000,15.4,11365.97,20.0254
2025-01-20T04:20:00,coinbase,binance,101686.8,101997.97,10000,10.55,11376.52,20.0206
2025-01-20T04:25:00,coinbase,binance,101659.63,101987.98,10000,12.24,11388.76,20.0223
2025-01-20T05:50:00,coinbase,binance,102375.01,102794.37,10000,20.89,11409.65,20.0309
2025-01-20T06:50:00,coinbase,binance,107878.53,108399.97,10000,28.25,11437.9,20.0383
2025-01-20T07:05:00,coinbase,binance,108390.93,109005.3,10000,36.58,11474.48,20.0466
2025-01-20T07:25:00,coinbase,binance,108556.5,108901.82,10000,11.76,11486.24,20.0218
2025-01-20T07:50:00,coinbase,binance,107630.53,107976.81,10000,12.12,11498.35,20.0221
2025-01-20T08:00:00,coinbase,binance,107313.34,107642.98,10000,10.67,11509.02,20.0207
2025-01-20T08:25:00,coinbase,binance,107885.08,108210.21,10000,10.09,11519.11,20.0201
2025-01-20T09:30:00,coinbase,binance,107790.16,108243.34,10000,21.97,11541.08,20.032
2025-01-20T10:05:00,coinbase,binance,107850.85,108253.6,10000,17.28,11558.35,20.0273
2025-01-20T11:05:00,coinbase,binance,107837.79,108163.07,10000,10.11,11568.47,20.0201
2025-01-20T12:15:00,coinbase,binance,105914.47,106291.31,10000,15.52,11583.99,20.0255
2025-01-20T12:45:00,coinbase,binance,106886.5,107211.19,10000,10.33,11594.31,20.0203
2025-01-20T14:20:00,coinbase,binance,107561.88,107949.21,10000,15.95,11610.26,20.026
2025-01-20T15:40:00,coinbase,binance,106322.21,106686.54,10000,14.21,11624.47,20.0242
2025-01-20T16:30:00,coinbase,binance,105266.31,105664.13,10000,17.73,11642.2,20.0278
2025-01-20T17:00:00,coinbase,binance,104381.61,104732.32,10000,13.54,11655.74,20.0236
2025-01-20T17:10:00,coinbase,binance,104081.32,104441.47,10000,14.54,11670.28,20.0246
2025-01-20T17:35:00,coinbase,binance,101497.58,102354.85,10000,64.3,11734.58,20.0744
2025-01-20T17:40:00,coinbase,binance,100714.16,101254.2,10000,33.52,11768.11,20.0436
2025-01-20T17:45:00,binance,coinbase,101683.01,102184.8,10000,29.26,11797.37,20.0393
2025-01-20T17:55:00,coinbase,binance,102829.6,103572.42,10000,52.1,11849.47,20.0622
2025-01-20T18:15:00,coinbase,binance,103340.01,103713.98,10000,16.13,11865.6,20.0262
2025-01-20T18:25:00,coinbase,binance,103630.4,103999.86,10000,15.59,11881.19,20.0256
2025-01-20T18:50:00,binance,coinbase,103939.04,104311.39,10000,15.76,11896.95,20.0258
2025-01-20T19:05:00,coinbase,binance,103222.0,103575.82,10000,14.22,11911.17,20.0242
2025-01-20T19:15:00,coinbase,binance,103160.41,103631.17,10000,25.55,11936.72,20.0356
2025-01-20T19:40:00,coinbase,binance,103171.04,103502.93,10000,12.11,11948.84,20.0221
2025-01-20T20:00:00,coinbase,binance,103488.75,103841.16,10000,13.99,11962.83,20.024
2025-01-20T20:35:00,coinbase,binance,103892.55,104313.32,10000,20.43,11983.26,20.0305
2025-01-20T20:40:00,coinbase,binance,103751.46,104067.92,10000,10.45,11993.71,20.0205
2025-01-20T20:55:00,coinbase,binance,103527.69,103848.82,10000,10.97,12004.68,20.021
2025-01-20T21:25:00,coinbase,binance,103590.75,103997.82,10000,19.23,12023.91,20.0293
2025-01-20T21:35:00,coinbase,binance,103264.21,103652.74,10000,17.56,12041.46,20.0276
2025-01-20T21:45:00,coinbase,binance,103012.79,103336.33,10000,11.35,12052.82,20.0214
2025-01-20T21:55:00,coinbase,binance,102479.85,102927.91,10000,23.64,12076.46,20.0337
2025-01-20T22:05:00,coinbase,binance,102427.88,102927.38,10000,28.68,12105.14,20.0387
2025-01-20T22:15:00,coinbase,binance,102800.67,103131.31,10000,12.11,12117.25,20.0221
2025-01-20T23:10:00,coinbase,binance,102615.9,103092.07,10000,26.32,12143.57,20.0364
2025-01-20T23:45:00,coinbase,binance,101989.89,102463.31,10000,26.34,12169.91,20.0364
2025-01-20T23:50:00,coinbase,binance,101849.71,102288.56,10000,23.01,12192.92,20.033
2025-01-21T00:50:00,coinbase,binance,101231.03,101654.56,10000,21.76,12214.68,20.0318
2025-01-21T01:10:00,binance,coinbase,101692.95,102034.15,10000,13.49,12228.18,20.0235
2025-01-21T01:35:00,coinbase,binance,100950.48,101303.57,10000,14.92,12243.1,20.0249
2025-01-21T02:25:00,coinbase,binance,102297.21,102629.65,10000,12.44,12255.54,20.0225
2025-01-21T04:00:00,coinbase,binance,102574.84,103065.08,10000,27.71,12283.25,20.0377
2025-01-21T04:25:00,coinbase,binance,102585.56,102974.03,10000,17.8,12301.05,20.0278
2025-01-21T05:20:00,coinbase,binance,101733.42,102164.5,10000,22.3,12323.35,20.0323
2025-01-21T05:30:00,coinbase,binance,101292.45,101775.58,10000,27.61,12350.96,20.0376
2025-01-21T05:35:00,coinbase,binance,101452.81,101766.48,10000,10.87,12361.82,20.0209
2025-01-21T05:45:00,coinbase,binance,101364.27,101753.57,10000,18.34,12380.16,20.0284
2025-01-21T05:50:00,coinbase,binance,101370.82,101718.59,10000,14.25,12394.41,20.0243
2025-01-21T09:05:00,binance,coinbase,102278.56,102718.74,10000,22.96,12417.37,20.033
2025-01-21T13:35:00,coinbase,binance,104459.23,104813.42,10000,13.85,12431.22,20.0239
2025-01-21T14:35:00,coinbase,binance,103354.27,103742.04,10000,17.45,12448.68,20.0275
2025-01-21T14:45:00,coinbase,binance,103825.58,104143.32,10000,10.55,12459.23,20.0206
2025-01-21T15:00:00,coinbase,binance,102838.0,103156.58,10000,10.93,12470.15,20.0209
2025-01-21T15:45:00,coinbase,binance,103486.0,103931.98,10000,23.02,12493.17,20.0331
2025-01-21T16:20:00,coinbase,binance,105994.56,106355.87,10000,14.03,12507.2,20.0241
2025-01-21T16:45:00,binance,coinbase,105199.34,105583.24,10000,16.43,12523.63,20.0265
2025-01-21T16:50:00,coinbase,binance,105239.82,105639.29,10000,17.89,12541.53,20.0279
